completions/train/mean_length,rewards/train/score/mean,_step,actor/train/kl
257.5,9.3125,1841,0.27480635046958923
346.0,9.0,1842,0.15679018199443817
210.5,8.625,1843,0.16086652874946594
144.0,7.75,1844,0.28498145937919617
294.125,8.625,1845,0.3032257854938507
167.5,10.0,1846,0.2285965383052826
204.375,9.46875,1847,0.34610554575920105
154.0,5.625,1848,0.17534899711608887
161.25,9.5,1849,0.26157790422439575
258.125,7.5,1850,0.2472948431968689
360.125,8.6875,1851,0.1684473305940628
283.0,7.25,1852,0.13219180703163147
508.75,3.25,1853,0.23727983236312866
262.75,10.0,1854,0.1302855759859085
178.0,10.0,1855,0.126424178481102
299.125,10.0,1856,0.1758829802274704
384.5,10.0,1857,0.14080755412578583
216.875,9.875,1858,0.21347105503082275
228.375,4.5,1859,0.28623560070991516
233.625,7.03125,1860,0.22755415737628937
245.625,10.0,1861,0.1996096819639206
346.375,10.0,1862,0.1865958422422409
244.125,9.1875,1863,0.13924776017665863
322.0,5.5625,1864,0.2306644171476364
269.25,7.9375,1865,0.15485496819019318
411.625,5.625,1866,0.3163563311100006
210.375,7.625,1867,0.19320626556873322
318.25,6.5625,1868,0.24181394279003143
462.75,4.40625,1869,0.25224611163139343
267.625,10.0,1870,0.18137232959270477
348.25,8.0,1871,0.10760953277349472
283.375,4.8125,1872,0.15218602120876312
276.75,10.0,1873,0.2405887097120285
279.5,10.0,1874,0.14293213188648224
358.125,5.1875,1875,0.1721094846725464
262.5,3.3125,1876,0.19426888227462769
236.5,6.03125,1877,0.2291659265756607
280.5,10.0,1878,0.3435288965702057
190.5,9.0,1879,0.15208423137664795
329.25,6.4375,1880,0.2319667786359787
339.5,8.625,1881,0.13148316740989685
470.5,3.4375,1882,0.13310158252716064
239.625,5.875,1883,0.1677847057580948
296.875,10.0,1884,0.3842509388923645
289.0,7.96875,1885,0.12166780978441238
389.25,4.3125,1886,0.2774442732334137
322.0,4.5,1887,0.1258426308631897
342.625,5.875,1888,0.1510612666606903
531.0,3.375,1889,0.19259120523929596
240.125,10.0,1890,0.13547059893608093
412.25,9.3125,1891,0.19552262127399445
406.5,10.0,1892,0.15806815028190613
270.5,6.25,1893,0.10159529000520706
365.25,5.1875,1894,0.31641659140586853
472.125,4.125,1895,0.17287087440490723
258.875,7.9375,1896,0.14553160965442657
672.875,0.5,1897,0.18587200343608856
277.25,10.0,1898,0.13855692744255066
331.0,8.9375,1899,0.13311737775802612
151.0,8.75,1900,0.11290279775857925
377.125,10.0,1901,0.3069455623626709
366.375,8.4375,1902,0.21542152762413025
172.625,10.0,1903,0.15665645897388458
377.0,5.375,1904,0.3064376413822174
644.25,3.5,1905,0.1782757192850113
275.375,4.3125,1906,0.14932234585285187
214.25,7.125,1907,0.23759976029396057
442.375,6.5625,1908,0.3055877983570099
408.625,6.625,1909,0.2527896761894226
191.5,10.0,1910,0.2018570750951767
154.75,8.25,1911,0.21589717268943787
201.125,4.375,1912,0.310523122549057
340.625,8.6875,1913,0.19102272391319275
167.75,6.1875,1914,0.15348127484321594
352.25,6.65625,1915,0.2102203220129013
272.625,10.0,1916,0.21567101776599884
469.875,3.40625,1917,0.08122186362743378
628.5,3.625,1918,0.14552313089370728
701.375,1.4375,1919,0.08889070153236389
468.875,6.6875,1920,0.0977969765663147
